Métier;Secteur;Nombre d'enregistrements;RIASEC Maj;RIASEC min;
Chef de projet informatique;Informatique, Digital, Télécom;62;E;C;
Chef de projet maîtrise d'ouvrage des systèmes d'information;Informatique, Digital, Télécom;18;I;C;
Chef de projet Organisation;Direction générale, Stratégie, Conseil, Organisation;19;E;C;
Chef de projet Politique de la ville;Fonction publique;2;;;
Chef de projet Web;Informatique, Digital, Télécom;16;E;C;
Chef de projets européens;Fonction publique;3;;;
Chef de projets industriels;Industrie, Maintenance, Energie;12;E;I;
Chef de projets numériques - Edition;Edition, Bibliothèque, Livre;2;;;
Chef de publicité;Marketing, E-commerce, Publicité;5;;;
Chef de rayon / Manager commercial;Commerce, Vente, Distribution;5;;;
Chef de Réception;Hôtellerie - Restauration;1;;;
Chef de secteur;Commerce, Vente, Distribution;4;;;
Chef de service;Fonction publique;4;;;
Chercheur;Sciences, Maths, Physique, Recherche;23;I;E;
Chirurgien;Médical;6;;;
Chirurgien-dentiste;Médical;4;;;
Chocolatier-confiseur;Artisanat, Commerce de détail;1;;;
Clerc de notaire;Droit, Justice;1;;;
Coach;Ressources Humaines;59;S;I;
Cofondatrice de la marque Les Petites Françaises;Agroalimentaire, Industrie agroalimentaire;1;;;
Coiffeur;Soins esthétiques, Coiffure;18;R;A;
Collecteur de fonds;Social, Vie associative;3;;;
Collégienne;Commerce, Vente, Distribution;1;;;
Comédien;Audiovisuel, Cinéma;4;;;
Comédien-Formateur;Enseignement, Formation;1;;;
Commercial / Business Developer;Commerce, Vente, Distribution;93;E;C;
Commis de cuisine;Hôtellerie - Restauration;3;;;
Commissaire aux comptes;Audit, Comptabilité, Gestion;5;;;
Commissaire dans les armées;Défense, Sécurité;1;;;
Commissaire de police;Défense, Sécurité;2;;;
Community manager;Communication, Médias;26;C;I;
Comptable;Audit, Comptabilité, Gestion;21;C;E;
Concepteur de jeux vidéos / Game designer;Informatique, Digital, Télécom;1;;;
Concepteur multimédia;Design, Graphisme, Multimédia;7;;;
Concepteur Web;Informatique, Digital, Télécom;13;A;E;
Concepteur-rédacteur;Communication, Médias;3;;;
Conducteur d'autobus;Transport, Logistique;3;;;
Conducteur d'engins de chantier;Bâtiment, Travaux publics, Architecture;1;;;
Conducteur de ligne de production;Industrie, Maintenance, Energie;2;;;
Conducteur de machines à imprimer;Edition, Bibliothèque, Livre;1;;;
Conducteur de travaux;Bâtiment, Travaux publics, Architecture;13;C;R;
Conducteur routier;Transport, Logistique;1;R;C;
Conducteur technique;Industrie, Maintenance, Energie;1;;;
Conseiller agricole;Agriculture, Elevage, Pêche;3;C;R;
Conseiller commercial en immobilier neuf;Immobilier;1;;;
Conseiller en création d'entreprise;Direction générale, Stratégie, Conseil, Organisation;7;;;
Conseiller en développement touristique;Tourisme, Loisirs;3;;;
Conseiller en économie sociale et familiale;Social, Vie associative;12;S;C;
Conseiller en Energie Partagée;Industrie, Maintenance, Energie;1;;;
Conseiller en environnement;Environnement, Eau, Nature, Propreté;5;;;
Conseiller en insertion sociale et professionnelle;Social, Vie associative;87;S;E;
Conseiller formation - en centre de formation;Enseignement, Formation;11;S;I;
Conseiller principal d'éducation;Enseignement, Formation;4;;;
Conseiller scientifique;Biologie, Chimie, Pharmacie;3;;;
Conseiller/Accompagnateur VAE;Enseignement, Formation;2;;;
Conservateur de patrimoine;Culture, Patrimoine;1;;;
Constructeur en voirie urbaine;Bâtiment, Travaux publics, Architecture;1;;;
Consultant en Business Intelligence;Informatique, Digital, Télécom;10;E;C;
Consultant en communication;Communication, Médias;25;C;E;
Consultant en conduite du changement;Direction générale, Stratégie, Conseil, Organisation;6;;;
Consultant en développement durable;Environnement, Eau, Nature, Propreté;5;;;
Consultant en écotourisme;Tourisme, Loisirs;1;;;
Consultant en immobilier;Immobilier;4;;;
Consultant en informatique;Informatique, Digital, Télécom;56;I;C;
Consultant en ingénierie;Direction générale, Stratégie, Conseil, Organisation;11;E;C;
Consultant en management des organisations;Direction générale, Stratégie, Conseil, Organisation;44;E;C;
Consultant en marketing;Marketing, E-commerce, Publicité;11;E;C;
Consultant en mobilité professionnelle / Outplacer;Ressources Humaines;17;E;C;
Consultant en orientation scolaire;Enseignement, Formation;2;;;
